"V1","V2","V3","V4","V5"
"High","Median","Median","Low","Median"
"High","Median","High","Low","Low"
"Low","High","High","Median","Median"
"Median","Median","Median","High","Median"
"Low","Median","High","High","High"
"Low","High","Median","High","Median"
"Median","Median","Median","Median","Low"
"Median","High","Median","Median","Median"
"Median","Median","Median","Median","Median"
"Median","Low","High","Low","High"
"Median","Median","Median","Low","Median"
"Low","Median","High","Median","High"
"Median","High","Median","Low","High"
"Median","Median","Median","Median","High"
"Median","Low","Median","Low","High"
"Median","Median","Median","Median","High"
"Low","High","Median","High","Median"
"Median","High","Median","High","Median"
"Median","High","Low","Median","High"
"Low","Median","Median","Median","Median"
"Median","Median","High","Low","High"
"Median","Median","High","Median","High"
"High","High","High","High","Median"
"Median","Median","Median","High","Median"
"Low","High","Median","High","Low"
"Low","Median","High","High","Median"
"Low","Median","Median","High","Low"
"Median","Median","High","High","Median"
"Median","Median","High","Median","Median"
"Median","Median","Median","Median","Median"
"High","Median","Low","Median","Low"
"Median","Median","Median","Median","Low"
"Median","Median","Median","Median","Median"
"High","High","Median","Low","Low"
"High","Median","Median","Median","Median"
"Median","Low","Median","High","Low"
"Median","Median","Median","Median","Low"
"Median","Median","Low","High","Low"
"Median","Low","Median","Median","Median"
"Low","Median","High","High","High"
"Low","High","High","High","High"
"Low","High","High","Median","Low"
"Low","Median","Median","High","Low"
"Median","Median","Median","Median","Low"
"Median","Median","High","Low","Median"
"Median","Median","Median","Median","Median"
"Median","Median","Low","Median","Median"
"Median","Low","Low","Median","Median"
"Low","Low","Median","High","High"
"Low","Median","High","Median","High"
"Median","Low","Low","Median","Median"
"High","Low","Median","High","Median"
"Median","Low","High","High","High"
"Median","Median","Median","Median","High"
"Median","Median","Low","High","High"
"Median","High","Median","High","Median"
"High","High","High","Median","Median"
"High","Median","High","Median","Median"
"Median","Low","Median","Median","Low"
"High","Low","High","Median","Low"
"Median","Median","High","Low","Median"
"Low","Low","Median","High","Median"
"Median","Low","Low","High","Median"
"Median","Low","Median","High","Median"
"High","Low","High","Median","High"
"High","Low","Median","Median","High"
"Median","Median","Low","Median","Median"
"High","Median","Low","High","Median"
"Median","Low","Median","Median","High"
"Median","Median","Low","Median","High"
"High","Median","Low","Median","High"
"High","Low","Low","Low","Median"
"High","Low","High","Median","Median"
"High","Low","Median","High","High"
"High","Median","High","Median","High"
"Median","Median","Median","Median","Median"
"Median","Low","Low","Median","High"
"High","Median","Median","Median","High"
"High","Median","High","High","Median"
"Median","Median","Median","High","Median"
"Median","Low","Low","Median","Low"
"Median","Median","Median","Median","Median"
"High","High","High","Median","Median"
"Median","High","Median","High","High"
"Low","Median","Low","Median","High"
"Median","Low","High","Median","High"
"Median","High","Median","High","Median"
"Low","High","Median","High","High"
"Median","Median","Low","High","High"
"High","High","Median","High","Median"
"Median","High","Median","High","High"
"High","Median","Low","Median","High"
"Median","High","Median","Median","High"
"Low","High","Median","High","Median"
"Low","Median","Low","Low","Median"
"Low","High","High","Low","High"
"Median","High","Median","High","Median"
"High","High","High","Median","Median"
"High","High","High","High","Median"
"High","Median","High","Median","High"
"High","Low","Median","High","Median"
"Median","Low","Median","High","Low"
"Median","Low","Median","Median","Median"
"Low","Low","Low","High","Low"
"Low","Median","Median","Median","Median"
"Median","Median","Median","High","Median"
"Low","Median","Median","Median","High"
"Median","Median","High","Median","Median"
"Median","Median","High","Low","Median"
"Low","Median","High","Low","Median"
"Median","High","Median","Median","Median"
"Low","Median","Low","High","Median"
"Median","High","Median","Median","Low"
"Median","Median","Low","Median","Low"
"Median","Median","Low","Median","Median"
"High","Median","Low","Median","High"
"Median","Low","Median","Low","Median"
"High","Median","Median","Median","Median"
"Median","Median","High","Median","High"
"Median","High","Median","Low","Median"
"Low","High","High","Median","Median"
"Median","Median","Median","High","Low"
"Low","Median","Median","Low","Low"
"Median","Median","Median","Median","Low"
"Low","Low","High","Low","Median"
"Low","Median","High","Median","Median"
"Median","High","High","High","Low"
"High","Median","Median","Median","Median"
"High","Median","Low","Low","Median"
"Median","Median","Median","Low","Median"
"High","High","High","Median","Low"
"High","High","Median","Low","Low"
"Median","High","Median","Low","Median"
"Median","Median","Median","Median","Low"
"Median","High","Median","Low","Low"
"Median","Median","Median","Median","Low"
"Low","High","Median","High","Low"
"Low","High","Median","Median","Low"
"Median","High","Low","High","High"
"Median","Median","Median","Median","Low"
"Median","Median","Median","Median","Median"
"Median","High","Low","Median","Median"
"Median","Median","Median","Low","High"
"Median","High","Low","Median","High"
"Median","High","Low","Low","High"
"Low","Median","Median","Median","High"
"Median","Median","Median","Median","Low"
"Median","Median","High","Median","Low"
"Median","Low","Median","Low","Median"
"Median","Median","Median","Low","Median"
"High","High","Median","Median","Median"
"High","Median","High","Median","Low"
"High","High","High","Low","Median"
"High","Low","Median","Median","Median"
"High","Median","Median","Median","Median"
"Median","Low","Median","Median","Low"
"Low","High","High","High","Low"
"Low","Median","Low","High","Low"
"Low","Low","Low","High","Median"
"Median","Median","Low","High","Low"
"Low","Median","Low","High","Low"
"Median","Low","Median","Median","Median"
"Median","Median","Median","Median","Median"
"Median","Low","High","Median","Median"
"Median","Median","High","Median","High"
"Median","Low","Median","High","Median"
"Median","Low","Median","Median","Median"
"Median","Low","Low","Median","Median"
"Median","Low","Median","Median","Median"
"Low","Median","Median","Median","Median"
"Low","Median","High","Low","Median"
"Median","High","Median","Median","Median"
"High","Median","Median","High","High"
"High","Low","Median","High","Median"
"Median","Low","High","High","Median"
"Median","Median","High","Median","High"
"Low","Median","High","Low","Low"
"Low","Median","High","Low","Median"
"Median","Median","Median","Low","High"
"Median","Low","Median","Median","Median"
"Median","Median","Median","Low","Median"
"Median","Median","Median","Median","Median"
"Median","High","Median","Low","Median"
"Low","Median","High","Median","Median"
"Low","High","Median","High","Median"
"Low","Median","High","Median","Low"
"Median","High","Median","High","Median"
"Median","Median","High","Median","Low"
"High","Median","High","High","High"
"Low","High","High","Median","Median"
"Median","Median","High","Median","High"
"Median","Median","Median","Median","Median"
"Median","Low","Median","High","Median"
"Low","Low","Median","Median","Low"
"Median","High","Median","Median","Median"
"Low","Low","High","Median","High"
"Median","Median","Median","Median","High"
"Median","High","Low","Low","Median"
"Low","High","High","High","High"
"Median","Median","High","High","Median"
"Low","Median","Median","Median","High"
"Low","Low","Median","Low","Median"
"Low","Low","Median","High","Low"
"Low","Median","High","Median","Median"
"Low","Median","Median","Median","High"
"Median","Median","Median","High","Median"
"Low","Low","Median","Median","Low"
"Low","Median","Median","Median","Median"
"Low","Low","Median","Median","Median"
"Median","Median","Median","Median","High"
"High","Low","High","Median","High"
"High","Median","Median","High","Median"
"Median","Median","Low","High","High"
"Median","Median","Low","Median","Median"
"Low","Median","Median","Median","High"
"Low","Low","Median","Low","Median"
"Median","Median","Median","Median","Median"
"Median","Low","Median","Median","Low"
"Median","Median","Median","Low","Low"
"Median","Median","Median","Low","Median"
"Low","Median","Median","Median","Low"
"Low","Median","High","Median","Median"
"Median","Median","High","Low","Low"
"Low","Median","High","Low","Median"
"Median","High","High","Median","High"
"Median","Median","Median","Low","High"
"Median","Median","Low","Median","Median"
"Low","Median","Low","Median","Median"
"Median","Median","Low","High","Low"
"Median","High","Median","Median","Median"
"High","Median","Low","Median","Low"
"Median","High","Median","Median","Low"
"High","Median","Low","High","Low"
"High","Low","Median","High","Median"
"High","Low","Median","High","Median"
"High","High","Median","Median","Median"
"Median","High","Median","Median","Low"
"High","Median","Median","Median","Median"
"High","Low","Median","Low","Median"
"Median","Low","Low","Low","Median"
"High","Median","Median","Low","High"
"Median","Median","High","Median","Median"
"Median","Low","Median","Median","Low"
"Median","Median","Low","Median","Median"
"Median","Median","Median","Low","High"
"Low","Low","Median","High","Median"
"Median","Median","High","Median","Median"
"Median","Median","Median","Low","Low"
"Low","Low","Median","Median","Median"
"Low","Low","Median","Median","Low"
"Median","Median","Median","Low","Low"
"High","Low","High","Median","Median"
"Median","Median","High","Median","Low"
"Low","High","High","High","Median"
"Low","Median","Median","Median","Low"
"Median","High","Median","Low","Median"
"Low","Median","Low","Median","High"
"Median","Median","Low","High","Median"
"High","High","Low","Median","Low"
"High","High","Median","Median","Low"
"Median","Low","Median","Median","High"
"Median","Median","Median","Low","High"
"Low","High","Median","Low","High"
"Median","Median","Low","Low","Median"
"Median","High","Median","Low","Low"
"Median","High","Median","Median","Median"
"High","Median","Median","High","Median"
"Median","Low","High","Median","High"
"High","Median","High","Median","High"
"High","Median","High","Low","Median"
"High","Median","Median","Low","High"
"High","Median","High","Low","High"
"High","Low","Low","Low","High"
"High","Low","Median","Median","Median"
"Median","Low","Median","Low","High"
"Low","High","Median","Median","Median"
"Low","Median","High","Low","Median"
"Median","Median","Median","Low","Median"
"Median","High","Median","Low","Median"
"Median","Median","Median","Median","Median"
"High","Low","High","Median","Median"
"High","Median","Low","Median","High"
"High","High","High","Low","High"
"High","High","High","Median","Median"
"High","Low","High","Median","Median"
"Median","Median","Median","Low","Median"
"Median","Median","Median","Low","Median"
"High","High","Low","Median","High"
"Median","Median","Median","Median","Low"
"Median","High","Median","Median","Low"
"Median","Median","Median","Low","Median"
"Low","Low","Median","High","Median"
"Low","Low","Median","Median","Median"
"Low","High","Median","High","Low"
"Median","Median","Median","Median","Median"
"Median","High","High","High","High"
"High","High","Median","Median","High"
"Low","High","Median","Median","Median"
"Low","Median","Median","Low","Median"
"Median","Median","Low","Low","High"
"Low","Median","Median","Low","Median"
"Median","Median","Median","Low","High"
"Median","Median","Median","Median","Median"
"Low","Median","High","Median","Median"
"Low","Median","Median","Low","High"
"Low","Median","Median","Median","High"
"Median","Low","Median","High","High"
"Low","Median","Low","Median","Median"
"Median","Median","Low","High","Low"
"Low","Median","Median","Median","Low"
"Low","Low","Median","High","Median"
"Low","Median","Median","High","Low"
"Median","Median","Median","Median","Median"
"High","Median","High","Median","Low"
"Median","Median","Median","Low","Median"
"Median","Low","Median","Median","High"
"Median","Low","High","Median","High"
"Median","Median","Median","Median","Median"
"Median","Median","Median","High","Low"
"High","High","Low","High","Median"
"High","High","Low","High","High"
"Median","Median","Median","High","Median"
"Low","Median","High","High","Low"
"Median","Low","Low","Median","Median"
"Median","High","Low","Median","High"
"High","High","Low","Median","High"
"High","Median","Median","Median","Median"
"Median","Median","High","Low","High"
"Low","Median","Median","Low","Median"
"Low","High","High","Low","High"
"Median","Median","High","Median","Median"
"Median","Low","Median","Median","Median"
"Median","Low","Low","Median","High"
"Median","Median","Low","Median","Median"
"Median","Low","Low","Median","Low"
"Low","Low","Low","High","Median"
"Low","Median","Low","Median","Median"
"Median","Median","Median","High","Median"
"Low","Median","High","Median","High"
"Low","Median","Median","High","High"
"Low","Median","Low","High","Median"
"Median","Median","High","High","Low"
"High","High","High","High","Median"
"High","Median","Median","High","Median"
"Median","Median","Median","High","Low"
"Median","Median","Median","Median","Low"
"High","Median","Low","High","Median"
"Median","Median","Low","High","Low"
"Median","Low","Low","Median","Median"
"Median","Low","High","Median","High"
"Median","High","Low","Median","Median"
"Median","Median","Median","High","High"
"Median","High","Median","Median","Median"
"Low","High","High","Median","Low"
"Median","Median","High","High","Low"
"High","Median","Median","Median","Median"
"Median","Median","Median","Median","Low"
"Median","Low","Median","High","Median"
"Median","Median","Median","High","Low"
"Median","Median","High","Median","Median"
"Median","Median","Median","High","Median"
"Median","Median","Median","Median","Median"
"Median","Median","High","High","Median"
"High","High","High","High","Low"
"High","Median","Median","High","Median"
"High","Low","High","High","High"
"High","Median","Median","High","High"
"High","Median","Median","High","Median"
"High","Low","High","Median","High"
"Median","Median","Median","Low","High"
"Median","Low","Median","Low","High"
"High","High","Median","Low","Median"
"High","Median","Low","Low","Median"
"High","Median","Low","Median","Median"
"High","Low","Low","High","Median"
"High","Median","Median","Median","Median"
"Median","High","Median","Median","Low"
"Median","High","High","Low","Low"
"Low","High","High","Median","Median"
"Low","Median","Median","Low","Low"
"Median","High","Median","High","Median"
"Low","Median","High","Median","Median"
"High","Median","Median","Low","Low"
"Low","Median","High","Low","Low"
"Median","High","Median","Median","Low"
"Low","Median","Low","Median","Median"
"Low","High","Median","Median","Low"
"Median","Low","Median","Median","High"
"Low","Low","Low","Median","Median"
"Median","Low","Low","Low","Median"
"Median","Median","Median","Median","Median"
"Median","Low","Low","Low","Median"
"High","Median","Low","Median","Low"
"Median","Median","Low","Median","Low"
"Median","High","Median","Low","Median"
"Median","Median","High","Median","High"
"Median","Low","High","Median","Median"
"Median","Median","High","Median","Median"
"Median","Low","High","Median","Low"
"Median","Low","High","Median","Median"
"Median","Median","High","Median","Median"
"High","High","Median","Median","Median"
"Median","Median","Low","Low","Low"
"Median","High","Median","Median","Low"
"Median","High","High","High","Low"
"High","High","High","High","Low"
"Median","High","High","Median","Median"
"Median","Median","High","Median","Median"
"Median","Median","Median","Median","Median"
"Low","Median","Median","Median","Median"
"Median","Median","High","Low","High"
"Median","Low","High","High","Median"
"Median","Median","Median","Median","Low"
"Low","Median","Median","Median","Median"
"Median","Median","High","Median","Low"
"Median","Median","High","High","Median"
"Median","Median","High","Median","High"
"High","Low","Median","Median","Median"
"Median","Low","Median","High","Median"
"High","Median","High","Median","High"
"High","Median","High","Median","High"
"High","Median","High","High","Median"
"High","Median","High","Low","High"
"Median","Median","High","High","Median"
"High","Low","High","High","Median"
"High","Median","Median","High","Low"
"High","Median","High","Median","Low"
"High","Median","Median","High","Median"
"Median","High","Median","Median","Median"
"Low","Median","High","Low","Median"
"Low","High","High","Low","Median"
"Low","High","High","Median","Median"
"Median","High","Median","Median","High"
"High","Median","Median","Low","High"
"High","Low","Median","Median","High"
"Median","Median","Median","Low","Low"
"Median","High","Low","Median","Median"
"Median","Median","Median","Low","Median"
"Low","High","Median","Low","High"
"Low","Median","Median","Low","Median"
"Low","Median","Low","Median","High"
"Median","Median","Median","Median","High"
"Low","Median","Median","High","Median"
"Median","High","Low","Median","Median"
"Median","Median","Median","Low","High"
"High","High","Median","Low","Median"
"High","High","Median","Median","High"
"High","Median","High","Median","High"
"Median","High","High","Median","High"
"Median","High","High","High","Median"
"Median","Median","High","Median","Median"
"Median","High","Median","High","Median"
"Median","Low","Median","Median","High"
"Median","Median","High","Low","Median"
"High","Median","High","Low","Median"
"High","Median","High","Low","Median"
"High","Median","Median","Low","Median"
"Median","Median","High","Low","High"
"High","Low","High","Median","Median"
"Median","Low","Median","High","Median"
"Median","Median","High","High","High"
"Low","Median","High","High","High"
"Low","Low","Median","Median","Median"
"Median","Low","Median","High","Median"
"Median","Low","High","Median","Median"
"Median","Low","Median","High","Median"
"Median","Median","High","High","Median"
"Median","Low","Median","Median","Median"
"Median","Low","High","Low","Median"
"Low","Low","Median","Low","Low"
"Low","Median","Median","Median","Median"
"Low","Median","Low","Low","Median"
"Low","Median","Low","Low","High"
"Low","High","Median","Low","High"
"Low","High","Median","Median","Median"
"Low","High","High","High","Median"
"Low","Median","Median","High","Low"
"Median","Median","Low","Median","Low"
"Median","Median","Low","Median","Low"
"Median","High","Median","Median","Median"
"Median","High","Median","Low","High"
"High","Median","Low","Median","High"
"High","Low","Median","Median","Median"
"Median","Median","Median","Median","Low"
"Median","Median","Median","Median","High"
"Median","Median","Low","High","Median"
"Low","High","Median","High","High"
"High","Median","Median","Median","Median"
"Median","Median","Median","Median","Low"
"High","Median","Low","Low","Low"
"Median","High","Median","Low","Median"
"Median","Median","Median","Median","Low"
"Median","Low","Median","Median","Median"
"High","Low","Median","Median","High"
"Median","Median","Median","Median","High"
"Low","Median","Median","Median","High"
"Median","Median","High","Median","Median"
"Low","Median","Median","Low","Low"
"Median","High","Median","Median","Median"
"High","High","Median","Median","Median"
"High","Median","Median","High","High"
"Median","Median","Low","Median","Low"
"Median","High","Median","Median","Median"
"Median","Median","Median","Median","Median"
"Median","High","Median","Median","Median"
"Median","High","High","Median","High"
"Median","Median","High","Median","Median"
"Low","High","Low","Median","Median"
"Median","Median","Median","High","High"
"High","Low","Low","Median","High"
"Median","Median","Low","Low","Low"
"Median","Median","Median","Median","Low"
"High","Median","High","Median","Low"
"Median","High","Median","High","Low"
"Median","High","Low","High","Median"
"Median","High","Median","Median","Median"
"Low","Median","Median","High","Low"
"Median","Median","Median","Median","Median"
"High","Median","Low","Median","Median"
"Median","Median","Median","Median","Low"
"Low","Low","Low","Median","Median"
"Median","Low","Low","High","Low"
"Median","Low","Low","High","Low"
"Median","Low","Low","Median","Low"
"High","Median","Median","Median","Low"
"Median","Low","Median","Median","Low"
"Median","Median","High","Median","High"
"Median","High","Median","Low","Median"
"Median","High","Median","Low","Median"
"Median","Median","Median","Median","Median"
"Median","Low","Median","Median","Median"
"High","Low","Median","Low","High"
"Median","Median","Median","Median","High"
"High","Median","Median","Median","High"
"Median","High","Median","High","Median"
"Median","Low","High","High","Median"
"Median","Low","Median","High","Median"
"Median","Median","High","Median","High"
"Median","Median","Median","Low","High"
"Low","High","High","Low","High"
"Low","Median","High","Median","High"
"Median","Median","High","Median","Median"
"Low","Low","High","Median","Median"
"Median","Median","Median","Median","Median"
"High","Median","Median","High","Median"
"High","Median","Median","Median","Low"
"High","Low","Low","High","Median"
"Median","Low","Median","Low","Median"
"High","Low","Median","Low","Median"
"High","Median","Low","Low","Median"
"Median","Low","Median","Low","Median"
"High","Median","Median","Median","Low"
"High","Low","Low","Median","Low"
"Median","Low","Median","Median","Median"
"Low","Low","Low","Median","Median"
"Low","Low","Median","Median","High"
"Low","Low","Median","High","High"
"Median","Median","High","High","High"
"Median","Low","High","High","Median"
"Median","High","High","Median","Low"
"Median","Median","Median","Low","Median"
"Median","Low","Low","Low","Median"
"Low","High","Median","Low","Median"
"Median","High","Low","Median","High"
"Low","Median","Low","Median","Median"
"Low","High","Median","High","Low"
"Median","Median","Low","Median","Low"
"Low","Median","Low","Low","Median"
"Low","High","Low","Low","Median"
"Low","High","Low","Low","Median"
"Median","High","Median","High","Median"
"Low","Median","High","Median","Median"
"Low","Median","Median","Median","High"
"Median","Median","Median","Median","High"
"High","Median","Median","Median","High"
"Median","Low","Median","Median","High"
"Median","Low","Median","Median","Median"
"Median","Median","Low","Median","High"
"Median","Low","Low","High","High"
"Low","Median","Low","High","Low"
"Median","Low","Low","Low","Low"
"Median","Low","Median","High","High"
"High","Low","Low","High","Median"
"Median","Median","Median","High","Low"
"Low","High","Median","High","Median"
"Median","Median","Median","High","High"
"Median","Median","Median","Median","Low"
"High","Median","Median","Median","High"
"Median","Median","Median","High","High"
"Median","High","Low","Median","Median"
"High","Median","Median","Median","Median"
"Median","Low","Median","Median","Median"
"Low","Median","Median","Median","Low"
"Low","Median","Median","High","Median"
"Low","Low","Median","Low","Low"
"Median","Low","Median","Low","Median"
"Median","High","Median","Low","Median"
"High","High","Median","Median","Median"
"Median","High","High","High","Median"
"Median","Median","Median","High","Low"
"Median","High","Median","Median","Low"
"Median","Median","Median","Median","Median"
"Low","Median","Median","Median","Median"
"Low","High","Median","High","High"
"Median","Median","Median","Median","High"
"High","High","Low","Median","Median"
"Median","High","Median","Median","Median"
"High","High","Median","Median","High"
"Median","Median","High","High","Median"
"Median","High","Median","Median","Low"
"Median","Median","Low","High","Median"
"Median","Median","Median","Median","High"
"High","Median","High","Median","High"
"Median","Median","Median","Median","High"
"High","High","Median","High","Median"
"Median","Low","Low","Median","Median"
"Median","High","Median","Median","High"
"Low","Median","Median","Low","High"
"Low","High","Median","Median","High"
"Low","Median","Median","Median","High"
"Median","Median","High","High","Median"
"High","High","Median","Median","Median"
"High","Median","Median","Median","Median"
"Median","Median","High","Median","Low"
"Low","Median","Median","High","High"
"High","Median","Median","Median","High"
"High","Low","Low","Low","Median"
"High","Low","Median","Median","High"
"Median","Low","High","Median","High"
"Median","Median","High","High","High"
"Low","Median","Median","Median","High"
"Median","Median","Low","Median","High"
"Median","Low","Median","Low","Median"
"Median","Low","Median","Median","Median"
"Median","Median","High","Low","Low"
"Median","Low","High","Median","Median"
"Median","Median","Median","Low","Median"
"Low","Median","High","Low","Median"
"Median","High","Median","Median","Median"
"High","High","Median","High","Low"
"Median","Median","High","High","Median"
"High","High","Median","Median","Median"
"Median","Median","Median","Median","Median"
"Median","Median","High","Median","Median"
"Low","Median","High","High","Low"
"High","High","Median","High","Median"
"Low","High","Median","High","Median"
"Low","High","High","Low","Median"
"Median","High","High","Low","Median"
"Median","High","Median","Low","Median"
"Median","High","Low","Median","High"
"Low","Median","Low","High","High"
"Median","Median","Low","Median","Low"
"Low","Median","Median","Median","Median"
"Median","Median","Median","Low","Median"
"Median","High","Median","Median","Median"
"High","High","Median","Low","Median"
"Median","High","Median","Median","High"
"High","Median","Median","Median","High"
"Median","Low","Median","Median","Median"
"Low","Low","Low","Median","High"
"High","Low","Median","High","Median"
"Median","Low","Median","Median","High"
"High","Median","High","Low","Median"
"Median","Median","Median","Median","High"
"Median","Low","Median","High","Median"
"Median","Median","High","Median","Median"
"Low","High","Median","Low","High"
"Low","Median","High","Low","Median"
"Median","Median","Median","Median","Median"
"Low","Median","High","Median","High"
"Low","Median","High","Median","Median"
"Low","High","High","Median","Median"
"Median","High","High","High","Low"
"Median","Median","Median","High","Low"
"Median","Median","Low","Median","Low"
"Median","Median","Median","Median","Median"
"Median","Low","Low","Low","Median"
"High","Low","Median","Median","Median"
"High","Low","Low","Median","Low"
"High","Median","Median","Median","Low"
"High","Low","Low","Median","Low"
"Median","Low","Low","Low","Median"
"Median","Median","Low","Low","Median"
"Median","Median","Low","Low","Median"
"Low","High","Low","Median","High"
"Median","Median","Median","Median","Median"
"High","High","High","Median","Low"
"Median","Median","Median","Low","Low"
"Median","Median","High","Median","Median"
"Low","Median","Median","Low","Median"
"Low","High","Median","Median","Low"
"Low","Median","Median","Low","Median"
"Low","Low","Low","Median","Median"
"Median","Median","Low","Median","Median"
"High","Low","Median","High","Low"
"Median","Median","Low","Median","Median"
"Median","High","Low","High","Median"
"Median","Median","Median","Median","High"
"Median","Median","Median","High","Median"
"Low","Median","Median","High","Median"
"Low","Low","Median","High","Low"
"Low","Low","Median","High","Median"
"Median","Median","Low","Median","Low"
"High","Median","Median","High","Median"
"High","High","High","High","Median"
"Median","Low","Median","Median","Median"
"Median","Median","Median","Median","Low"
"Median","Median","Low","Median","Low"
"Median","Low","Low","Median","Low"
"High","Median","Low","High","Median"
"High","Median","Median","Median","Median"
"Low","Low","Low","High","High"
"Median","Median","High","High","Median"
"Median","High","Median","Median","Median"
"Median","High","Median","Median","High"
"High","Median","High","Low","Median"
"Median","Median","Median","Median","Low"
"Median","High","Median","Median","Median"
"Low","Median","Median","High","High"
"Low","Median","Median","High","Median"
"Median","Low","Median","High","Median"
"Median","Median","High","Median","Median"
"High","Median","Median","Median","Median"
"Median","High","High","Median","High"
"High","Median","Median","Low","Median"
"High","High","Median","Median","High"
"Low","Median","Median","Median","Median"
"Median","Low","High","Median","High"
"Median","Median","Median","Median","High"
"Median","High","Median","Median","Median"
"Median","Median","Low","Low","High"
"Median","Low","Low","Median","High"
"High","Low","Median","Median","Low"
"High","Median","Low","Median","Low"
"Median","High","Low","Median","Median"
"Low","Median","Median","Low","High"
"Low","Median","Median","Median","Median"
"Low","Median","Median","High","Median"
"Median","Low","Median","High","Low"
"Low","Median","Median","High","Median"
"High","Median","Median","Median","High"
"Median","Low","Low","Median","High"
"Low","Low","Median","Median","High"
"Median","Low","Median","Median","Median"
"High","Low","High","Low","Low"
"Median","Median","Median","Low","Low"
"Median","Median","High","Low","Low"
"High","Median","Median","Low","Median"
"High","Low","Median","Median","High"
"Median","High","Median","High","Median"
"Median","High","Low","High","Median"
"High","High","High","High","High"
"Median","Median","Median","Median","Median"
"Median","Low","Low","Median","Low"
"Median","Median","Median","Median","Low"
"High","High","Median","Median","Median"
"Median","High","Low","Low","Median"
"Median","Median","Low","Low","Median"
"High","Median","Low","Median","Median"
"Median","Median","Median","High","Low"
"Low","Low","Median","Median","Median"
"Median","Median","Median","High","High"
"Median","Median","High","High","High"
"High","High","High","Median","Median"
"Median","High","Median","Median","Low"
"Low","High","Low","Median","Median"
"Median","Median","Median","Median","Median"
"Median","Median","Median","Median","Low"
"Median","Median","Median","Median","Median"
"Median","Low","Median","Low","Low"
"Low","Low","Median","Median","Low"
"Median","Low","Low","Median","Median"
"Low","Median","Median","High","Median"
"Median","Median","Median","High","High"
"Low","High","Median","High","High"
"Median","Median","Low","Median","High"
"Median","Median","Median","High","High"
"High","Median","Median","High","Median"
"High","High","Median","Median","Low"
"Median","High","Low","Median","Median"
"Median","Low","Median","Low","High"
"Median","Median","Low","Low","High"
"Low","Low","Low","Low","High"
"Low","Low","Median","Median","Median"
"Median","Low","Median","Median","Median"
"Median","Low","Median","Median","Median"
"Median","Median","Median","Median","Median"
"Median","Low","Median","Median","Median"
"High","Median","Low","Median","Median"
"Median","Low","Median","Median","Low"
"Median","Median","High","Median","Median"
"Low","Low","Median","Median","Low"
"Median","Low","High","High","High"
"Low","Median","High","Median","Median"
"Low","Low","High","High","High"
"Median","High","Median","High","High"
"Median","Median","High","Median","Median"
"High","High","High","Median","Median"
"Median","High","Median","Low","High"
"Low","High","Median","Median","High"
"Low","Median","High","Median","High"
"Median","High","Median","Median","Median"
"Low","Median","Median","High","Low"
"Median","Low","Median","Median","Low"
"Median","Low","High","Median","Low"
"Low","Median","Median","Median","Median"
"Low","Median","High","High","High"
"Median","Median","Median","Median","High"
"Median","Low","Median","Low","High"
"Median","Median","Median","Median","Median"
"Median","Low","High","Low","Low"
"Median","Low","Median","Low","Median"
"High","Low","Median","Low","Median"
"High","Median","Median","Median","High"
"Low","Median","High","Low","Median"
"Low","Low","Median","Low","High"
"Median","Median","Median","Median","High"
"Median","Low","Low","Median","High"
"High","Median","Median","Low","High"
"Median","High","High","Low","High"
"Low","Median","High","Low","High"
"Median","High","High","Median","High"
"Median","High","High","Median","Median"
"Median","Median","High","Median","Median"
"Median","Median","High","Low","Median"
"High","Low","Median","Low","High"
"Median","Low","Low","Median","High"
"Median","Median","Median","Median","Median"
"Median","Low","Low","High","Median"
"High","Median","Low","High","Low"
"Median","Median","Low","High","Median"
"Median","Median","Median","High","Low"
"High","Median","Low","High","Median"
"Median","High","Median","Median","Median"
"Median","High","High","Low","Median"
"Median","Median","Median","Median","Median"
"Median","High","Median","Low","Low"
"Median","High","Low","Median","Median"
"High","Median","Median","Median","Low"
"High","Median","High","Median","Low"
"High","Median","Median","Median","Low"
"Median","Median","Median","High","Median"
"Median","Median","Median","High","High"
"Median","Median","Median","High","Median"
"High","Low","High","Median","Low"
"Median","Low","Median","Low","Median"
"Median","Median","High","Median","Median"
"Median","High","Median","High","Median"
"Median","Median","Median","Low","High"
"Median","Median","High","Low","Median"
"Median","Median","Median","Median","Median"
"Median","Median","Low","Median","Median"
"Low","High","Low","Low","Median"
"Low","High","Median","Low","Low"
"Median","Median","Median","Median","Median"
"High","High","High","Median","Median"
"High","Median","Median","Median","High"
"Median","Median","Low","Median","Median"
"Median","Low","Median","Median","High"
"High","Median","Median","High","Median"
"Median","Low","Low","High","Low"
"Low","Median","Median","High","Median"
"Low","Median","Median","High","Median"
"Low","Low","Median","Median","Median"
"Low","Low","High","High","Median"
"Median","Low","High","Median","Median"
"Median","High","High","High","Median"
"Median","High","High","High","Low"
"High","Median","High","Median","Median"
"Low","High","Median","High","Median"
"Median","High","Low","Median","Median"
"Low","High","Median","Median","Median"
"High","Median","Low","Low","Median"
"High","Median","Median","Low","High"
"High","Median","Median","Median","Median"
"Median","Median","Median","Median","Low"
"High","High","Median","Median","Median"
"Median","High","Low","High","Median"
"Median","Median","Low","High","Median"
"Median","Median","Median","Median","Median"
"Median","Low","High","Low","Low"
"Median","Median","Median","Median","Median"
"Low","Median","Median","Median","High"
"Median","High","High","High","High"
"Median","High","High","Low","Median"
"Median","High","High","Median","Low"
